=== Reconciliation Results for 042025 ===
Total rows in reconciliation results for 042025: 24
┌─────────┬────────────────────────────────────────┬─────────────────────┬────────────────────┬──────────────┬────────────────────┬─────────────┐
│ (index) │ id                                     │ match_status        │ books_invoice      │ books_period │ gstr_invoice       │ gstr_period │
├─────────┼────────────────────────────────────────┼─────────────────────┼────────────────────┼──────────────┼────────────────────┼─────────────┤
│ 0       │ '83522886-910f-4192-a4d4-25d9baae0f38' │ 'matched'           │ '138251261880469'  │ '042025'     │ '0138251261880469' │ '062025'    │
│ 1       │ 'cd0cce22-2f32-485f-b8e2-d3742cf60d55' │ 'matched'           │ '135250404023852'  │ '042025'     │ '0135250404023852' │ '062025'    │
│ 2       │ '11c6d8a1-d43c-43d9-94f1-d4d9e5bea2f4' │ 'matched'           │ '135250408038179'  │ '042025'     │ '0135250408038179' │ '062025'    │
│ 3       │ 'de9acca7-356e-4d55-b923-34c41844ec2c' │ 'matched'           │ '135250411058075'  │ '042025'     │ '0135250411058075' │ '062025'    │
│ 4       │ '806d2268-e548-453b-816c-982ba2ed5169' │ 'matched'           │ 'AT0432526'        │ '042025'     │ 'AT0432526'        │ '062025'    │
│ 5       │ 'b0e7cb99-61a1-492c-90d3-df6e7dbdd1c9' │ 'matched'           │ '135250424120779'  │ '042025'     │ '0135250424120779' │ '062025'    │
│ 6       │ 'db8a1780-060f-4fe6-bb0c-82398f45f0ed' │ 'matched'           │ 'P045'             │ '042025'     │ 'P045'             │ '062025'    │
│ 7       │ '84ee1a93-8bce-4f22-b63a-a9e35b52baa7' │ 'missing_in_portal' │ ''                 │ '042025'     │ null               │ null        │
│ 8       │ '449868ed-768e-43ad-ae21-a30981349a78' │ 'matched'           │ 'MF2624I000151102' │ '042025'     │ 'MF2624I000151102' │ '062025'    │
│ 9       │ '79f80d36-af91-41ae-82bb-a4154bf36fb4' │ 'matched'           │ '135250424120790'  │ '042025'     │ '0135250424120790' │ '062025'    │
│ 10      │ '21baef49-b6ee-4385-8641-2dc5ef1eecdf' │ 'matched'           │ '135250424120834'  │ '042025'     │ '0135250424120834' │ '062025'    │
│ 11      │ '75ad0d84-5aaf-4bf6-9294-f2e8534a1fb8' │ 'matched'           │ 'AIN2526000276054' │ '042025'     │ 'AIN2526000276054' │ '062025'    │
│ 12      │ 'fddfe438-d2ec-494f-9885-1b26fdb8c439' │ 'matched'           │ '5237081399'       │ '042025'     │ '5237081399'       │ '062025'    │
│ 13      │ 'a8b8b7ce-af74-4e91-b618-ac6084e910fd' │ 'matched'           │ 'HF2624I000025725' │ '042025'     │ 'HF2624I000025725' │ '062025'    │
│ 14      │ 'f381f5f7-2cd4-4440-822b-43a7a87d8f1a' │ 'matched'           │ 'M06AI26I00971270' │ '042025'     │ 'M06AI26I00971270' │ '062025'    │
│ 15      │ '1f1efceb-1f67-4d8e-bcd2-2c82ae49f867' │ 'matched'           │ 'M06AI26I01095621' │ '042025'     │ 'M06AI26I01095621' │ '062025'    │
│ 16      │ 'f548fcb4-e0a0-44e0-bad8-5f1d578b3d64' │ 'matched'           │ '242E2FZ2V0425002' │ '042025'     │ '242E2FZ2V0425002' │ '062025'    │
│ 17      │ 'f5783aa4-0b5a-48df-9438-fc150112ff8b' │ 'matched'           │ '192HBTC9X0425002' │ '042025'     │ '192HBTC9X0425002' │ '062025'    │
│ 18      │ 'd50fa9fa-3fff-485d-a813-e228bf915f21' │ 'matched'           │ '243E473YF0425003' │ '042025'     │ '243E473YF0425003' │ '062025'    │
│ 19      │ 'c1ded407-5ea6-4720-8f9a-2ab1b9a23f5b' │ 'matched'           │ '193FYFRMA0425003' │ '042025'     │ '193FYFRMA0425003' │ '062025'    │
│ 20      │ 'd97e8f9a-5057-41dc-81db-399bfbb2568b' │ 'matched'           │ '243E473YF0425002' │ '042025'     │ '243E473YF0425002' │ '062025'    │
│ 21      │ '115969b4-e937-4bdf-95b5-86c18ea5f2df' │ 'matched'           │ '193FYFRMA0425002' │ '042025'     │ '193FYFRMA0425002' │ '062025'    │
│ 22      │ 'f12c30c3-679e-4885-ad03-5178ecc28e6a' │ 'matched'           │ '243E2FZ2V0425003' │ '042025'     │ '243E2FZ2V0425003' │ '062025'    │
│ 23      │ '178117bc-2bb1-4441-861d-ed2564932b1b' │ 'matched'           │ '193HBTC9X0425003' │ '042025'     │ '193HBTC9X0425003' │ '062025'    │
└─────────┴────────────────────────────────────────┴─────────────────────┴────────────────────┴──────────────┴────────────────────┴─────────────┘
